Time,Ticker,Price,Change
02/01/2023 08:59:03,ETH,"1,215.25",0.40
02/01/2023 08:59:50,ETH,"1,215.25",0.40
02/01/2023 09:04:50,ETH,"1,215.50",0.44
02/01/2023 09:09:51,ETH,"1,215.57",0.47
